epochy | 5.5, 9.1, 9.4,  8.5, 10.2
val | 0.0281, 0.0268, 0.0304, 0.0294, 0.0328
test | 0.0242, 0.038266, 0.036586, 0.022147, 0.024883
test acc | 99.2, 99.5, 99.0, 99.3, 99.2
train acc | 99.8, 99.8, 99.8,99.9, 99.9

epochy | 22.0, 16.1, 17.9, 14.0, 18.8
val | 0.0269, 0.0232, 0.0210, 0.0216, 0.0284
test | 0.027392, 0.026247, 0.026781, 0.021988, 0.027273 
test acc | 99.3, 99.2, 99.3, 99.3, 99.2
train acc | 99.9, 99.9, 99.8, 99.9, 99.8

epochy | 11.0, 15.9, 9.8,  6.7, 15.9
val | 0.0305, 0.0304, 0.0343, 0.0339, 0.0237
test | 0.025182, 0.025615, 0.020817, 0.030647, 0.022644
test acc | 99.3, 99.3, 99.4, 99.1, 99.4
train acc | 99.7, 99.9, 99.8, 99.5, 99.8
